Count_Cells_Green,Count_Cells_Red,Count_FilteredGreen,Count_FilteredGreenRedDouble,Count_FilteredRed,Count_Nuclei,ExecutionTime_01LoadImages,ExecutionTime_02CorrectIlluminationCalculate,ExecutionTime_03CorrectIlluminationCalculate,ExecutionTime_04CorrectIlluminationCalculate,ExecutionTime_05CorrectIlluminationApply,ExecutionTime_06CorrectIlluminationApply,ExecutionTime_07CorrectIlluminationApply,ExecutionTime_08IdentifyPrimaryObjects,ExecutionTime_09IdentifySecondaryObjects,ExecutionTime_10IdentifySecondaryObjects,ExecutionTime_11MeasureImageIntensity,ExecutionTime_12CalculateMath,ExecutionTime_13CalculateMath,ExecutionTime_14ApplyThreshold,ExecutionTime_15ApplyThreshold,ExecutionTime_16MeasureObjectSizeShape,ExecutionTime_17MeasureObjectIntensity,ExecutionTime_18MeasureObjectIntensity,ExecutionTime_19ConserveMemory,ExecutionTime_20FilterObjects,ExecutionTime_21FilterObjects,ExecutionTime_22RelateObjects,ExecutionTime_23FilterObjects,ExecutionTime_24RescaleIntensity,ExecutionTime_25RescaleIntensity,ExecutionTime_26RescaleIntensity,ExecutionTime_27GrayToColor,ExecutionTime_28OverlayOutlines,ExecutionTime_29OverlayOutlines,ExecutionTime_30SaveImages,ExecutionTime_31SaveImages,ExecutionTime_32SaveImages,FileName_DAPI,FileName_FITC,FileName_PI,Group_Index,Group_Number,ImageNumber,Intensity_MADIntensity_CorrGreen_Cells_Green,Intensity_MADIntensity_CorrRed_Cells_Red,Intensity_MaxIntensity_CorrGreen_Cells_Green,Intensity_MaxIntensity_CorrRed_Cells_Red,Intensity_MeanIntensity_CorrGreen_Cells_Green,Intensity_MeanIntensity_CorrRed_Cells_Red,Intensity_MedianIntensity_CorrGreen_Cells_Green,Intensity_MedianIntensity_CorrRed_Cells_Red,Intensity_MinIntensity_CorrGreen_Cells_Green,Intensity_MinIntensity_CorrRed_Cells_Red,Intensity_PercentMaximal_CorrGreen_Cells_Green,Intensity_PercentMaximal_CorrRed_Cells_Red,Intensity_StdIntensity_CorrGreen_Cells_Green,Intensity_StdIntensity_CorrRed_Cells_Red,Intensity_TotalArea_CorrGreen_Cells_Green,Intensity_TotalArea_CorrRed_Cells_Red,Intensity_TotalIntensity_CorrGreen_Cells_Green,Intensity_TotalIntensity_CorrRed_Cells_Red,MD5Digest_DAPI,MD5Digest_FITC,MD5Digest_PI,Math_Math_Green,Math_Math_Red,Metadata_Date,Metadata_Run,ModuleError_01LoadImages,ModuleError_02CorrectIlluminationCalculate,ModuleError_03CorrectIlluminationCalculate,ModuleError_04CorrectIlluminationCalculate,ModuleError_05CorrectIlluminationApply,ModuleError_06CorrectIlluminationApply,ModuleError_07CorrectIlluminationApply,ModuleError_08IdentifyPrimaryObjects,ModuleError_09IdentifySecondaryObjects,ModuleError_10IdentifySecondaryObjects,ModuleError_11MeasureImageIntensity,ModuleError_12CalculateMath,ModuleError_13CalculateMath,ModuleError_14ApplyThreshold,ModuleError_15ApplyThreshold,ModuleError_16MeasureObjectSizeShape,ModuleError_17MeasureObjectIntensity,ModuleError_18MeasureObjectIntensity,ModuleError_19ConserveMemory,ModuleError_20FilterObjects,ModuleError_21FilterObjects,ModuleError_22RelateObjects,ModuleError_23FilterObjects,ModuleError_24RescaleIntensity,ModuleError_25RescaleIntensity,ModuleError_26RescaleIntensity,ModuleError_27GrayToColor,ModuleError_28OverlayOutlines,ModuleError_29OverlayOutlines,ModuleError_30SaveImages,ModuleError_31SaveImages,ModuleError_32SaveImages,PathName_DAPI,PathName_FITC,PathName_PI,Scaling_DAPI,Scaling_FITC,Scaling_PI,Threshold_FinalThreshold_Cells_Green,Threshold_FinalThreshold_Cells_Red,Threshold_FinalThreshold_Nuclei,Threshold_FinalThreshold_ThreshGreen,Threshold_FinalThreshold_ThreshRed,Threshold_OrigThreshold_Cells_Green,Threshold_OrigThreshold_Cells_Red,Threshold_OrigThreshold_Nuclei,Threshold_OrigThreshold_ThreshGreen,Threshold_OrigThreshold_ThreshRed,Threshold_SumOfEntropies_Cells_Green,Threshold_SumOfEntropies_Cells_Red,Threshold_SumOfEntropies_Nuclei,Threshold_SumOfEntropies_ThreshGreen,Threshold_SumOfEntropies_ThreshRed,Threshold_WeightedVariance_Cells_Green,Threshold_WeightedVariance_Cells_Red,Threshold_WeightedVariance_Nuclei,Threshold_WeightedVariance_ThreshGreen,Threshold_WeightedVariance_ThreshRed
536.0,536.0,61.0,31.0,140.0,536.0,2.234375,4.078125,3.984375,3.546875,0.015625,0.015625,0.015625,4.9375,2.640625,3.375,0.078125,0,0,1.0625,0.890625,8.578125,0.15625,0.15625,0.03125,0.203125,0.21875,0.015625,0.15625,0.046875,0.03125,0.015625,0.390625,1.75,1.171875,0.140625,0.078125,0.09375,330L_10_0003.tif,330L_10_0001.tif,330L_10_0002.tif,1,1,1,0.000357028562576,0.000954284798354,0.0492705,0.0525728,0.00366620268439,0.00545534737897,0.00288375793025,0.00439444975927,0.00163093,0.00223681,0.00141845983631,0.00128500019275,0.00304201309511,0.00364049622265,70499,77821,258.464,424.541,640ca62f5cd476c55afb84036646739a,b7701f83aabd867e47bad6d4b1c6f75d,77a1ae203f8f27e44ea69c1916ac0ff1,0.00720939482562,0.0109861243982,Till,2012-03-15 something something,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G:\Till\2012-03-15 something something,G:\Till\2012-03-15 something something,G:\Till\2012-03-15 something something,65535,65535,65535,0.00487776401294,0.00545015039958,0.00789306532694,0.00720939482562,0.0109861243982,0.00402383689294,0.00462414784455,0.008,0.00720939482562,0.0109861243982,-11.5477374673,-11.5335589326,-11.7897898636,-11.5364580724,-11.4968293876,0.0306416094145,0.0287587807518,0.167385935762,0.0419319240526,0.0486222025992
424.0,424.0,31.0,21.0,98.0,424.0,0.203125,3.90625,3.109375,3.375,0.015625,0.015625,0.03125,4.59375,3.234375,2.875,0.078125,0,0,0.828125,0.8125,7.734375,0.140625,0.140625,0.03125,0.203125,0.21875,0.015625,0.15625,0.015625,0.03125,0.015625,0.390625,1.515625,1.03125,0.109375,0.09375,0.078125,330L_11_0003.tif,330L_11_0001.tif,330L_11_0002.tif,2,1,2,0.000283019500785,0.000802703434601,0.0539886,0.0532513,0.00326118544844,0.00505457859031,0.00293619092554,0.00421474641189,0.00172618,0.00231117,0.00159836327601,0.00182391887209,0.00234984204956,0.00281973055778,62564,54827,204.033,277.127,7b04cdfe36f3575d22fac463a464d7d3,90692d4585f684615e6df7b71bd81635,a55db0f4cd13c0daf834a0e5ad39fce3,0.00734047731385,0.0105368660297,Till,2012-03-15 something something,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G:\Till\2012-03-15 something something,G:\Till\2012-03-15 something something,G:\Till\2012-03-15 something something,65535,65535,65535,0.00388840895433,0.00545015039958,0.00789306532694,0.00734047731385,0.0105368660297,0.00288680825295,0.00462403429022,0.008,0.00734047731385,0.0105368660297,-11.5633563873,-11.5227602447,-11.7406269976,-11.5442048963,-11.4620697941,0.0218297842011,0.0229809458334,0.133992917763,0.0254760781819,0.0354273710495
686.0,686.0,105.0,35.0,161.0,686.0,0.234375,3.609375,3.40625,3.046875,0.015625,0.015625,0.03125,4.734375,2.984375,3.046875,0.078125,0,0,0.8125,0.8125,8.78125,0.1875,0.1875,0.015625,0.234375,0.203125,0.03125,0.15625,0.015625,0.015625,0.03125,0.390625,1.5,1.03125,0.125,0.078125,0.09375,330L_12_0003.tif,330L_12_0001.tif,330L_12_0002.tif,3,1,3,0.000583032378927,0.00097849406302,0.0552692,0.0527736,0.00417883808232,0.00571428563813,0.00349439377896,0.00492690270767,0.00160758,0.00215424,0.000931653871953,0.000808714709712,0.0037130129333,0.00330447116207,107336,123653,448.54,706.589,e390ae0d14d51f425e50af2f48c8a9d0,85ef42e06c3cecfe3fc85df0f9583530,9e84ecb046a4646e3827c16630b29b27,0.00873598444741,0.0123172567692,Till,2012-03-15 something something,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G:\Till\2012-03-15 something something,G:\Till\2012-03-15 something something,G:\Till\2012-03-15 something something,65535,65535,65535,0.0047395114241,0.00525568111295,0.00789306532694,0.00873598444741,0.0123172567692,0.00369468183895,0.00426476832229,0.008,0.00873598444741,0.0123172567692,-11.5619480562,-11.5288616997,-11.8139029022,-11.5167388731,-11.433197178,0.0384008581295,0.0359636490583,0.288666008933,0.0488956159664,0.0831541899977
850.0,850.0,102.0,36.0,185.0,850.0,0.234375,3.96875,3.15625,3.375,0.03125,0.015625,0.015625,4.859375,2.90625,3.125,0.109375,0,0,0.828125,0.828125,8.90625,0.171875,0.21875,0.03125,0.203125,0.21875,0.015625,0.15625,0.078125,0.015625,0.015625,0.40625,1.484375,1.015625,0.109375,0.09375,0.09375,330L_13_0003.tif,330L_13_0001.tif,330L_13_0002.tif,4,1,4,0.000439611263573,0.000868989620358,0.0557621,0.0517431,0.00440773795953,0.00613961378273,0.00338367768563,0.00539633724838,0.00167925,0.00238472,0.00103761348898,0.000685861647988,0.00413979420641,0.00309882443983,96375,145802,424.796,895.168,bca207c2522069627fe122748abea535,ff6515564c30b907f6b0285d32f75b77,d3dee8cd0992877ffc30d06cc579c0d5,0.00845919421408,0.013490843121,Till,2012-03-15 something something,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G:\Till\2012-03-15 something something,G:\Till\2012-03-15 something something,G:\Till\2012-03-15 something something,65535,65535,65535,0.00638826405654,0.00545015039958,0.00789306532694,0.00845919421408,0.013490843121,0.00537909836762,0.00460980588384,0.008,0.00845919421408,0.013490843121,-11.5705140373,-11.5322691644,-11.8804984669,-11.5670963016,-11.4213730537,0.0459509433844,0.0394681517367,0.303302066712,0.0490659125182,0.0916489622216
541.0,541.0,45.0,25.0,137.0,541.0,0.296875,4.015625,3.1875,3.40625,0.015625,0.015625,0.03125,4.703125,2.875,2.953125,0.078125,0,0,0.828125,0.8125,8.1875,0.15625,0.15625,0.03125,0.203125,0.21875,0.015625,0.140625,0.03125,0.015625,0.03125,0.390625,1.5,1.03125,0.125,0.09375,0.078125,330L_14_0003.tif,330L_14_0001.tif,330L_14_0002.tif,5,1,5,0.000265802722424,0.000837983097881,0.0511854,0.0473201,0.00339252779146,0.00479666555914,0.00276196934283,0.00397020298988,0.0015124,0.00196667,0.00170808779571,0.00135685210312,0.00333711012391,0.00304453223645,58545,73700,198.616,353.514,4826214b89cec67b9eb44b01494ef79d,b2da33d3a694cd453cb9adc54c9e017d,c29c4fde422bd52927aef3a94e14c63e,0.00690492335707,0.00992550747469,Till,2012-03-15 something something,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G:\Till\2012-03-15 something something,G:\Till\2012-03-15 something something,G:\Till\2012-03-15 something something,65535,65535,65535,0.0048494148423,0.00486403245192,0.00789306532694,0.00690492335707,0.00992550747469,0.00383271334483,0.00384777287263,0.008,0.00690492335707,0.00992550747469,-11.5346682512,-11.5435734582,-11.7488907312,-11.5348857958,-11.4995736405,0.0287872395402,0.0274519147122,0.330996733783,0.0292836750007,0.0502987340949
418.0,418.0,23.0,12.0,92.0,418.0,0.21875,3.453125,3.3125,3.5625,0.03125,0.015625,0.015625,4.6875,2.859375,2.9375,0.0625,0,0,0.828125,0.8125,7.625,0.140625,0.140625,0.03125,0.203125,0.21875,0.015625,0.15625,0.03125,0.015625,0.015625,0.390625,1.53125,1.03125,0.109375,0.09375,0.09375,330L_15_0003.tif,330L_15_0001.tif,330L_15_0002.tif,6,1,6,0.000248256605119,0.001031531021,0.0440615,0.0470484,0.00315663924882,0.0048096067391,0.00264004804194,0.00397907849401,0.0014721,0.00186341,0.0026551257202,0.00182511726378,0.00225031879697,0.00315971918397,37663,54791,118.889,263.523,e865a25119b5f5b5672da9091c6ce092,0d1920d6bf998febb7b0f233032abaae,78ecc52b3132bc2911b5e803583afaeb,0.00660012010485,0.00994769623503,Till,2012-03-15 something something,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G:\Till\2012-03-15 something something,G:\Till\2012-03-15 something something,G:\Till\2012-03-15 something something,65535,65535,65535,0.00639924944027,0.0047395114241,0.00789306532694,0.00660012010485,0.00994769623503,0.00543696886451,0.00370366362868,0.008,0.00660012010485,0.00994769623503,-11.5530137441,-11.5605358996,-11.6165388658,-11.559747897,-11.4878738983,0.0306405479775,0.0361450060398,0.457954696804,0.0323415653354,0.0745648248337
653.0,653.0,34.0,20.0,185.0,653.0,0.234375,3.59375,3.421875,3.0625,0.03125,0.015625,0.015625,4.796875,3.25,2.96875,0.109375,0,0,0.84375,0.8125,8.734375,0.1875,0.171875,0.03125,0.203125,0.21875,0.03125,0.1875,0.03125,0.015625,0.015625,0.390625,1.53125,1.03125,0.109375,0.09375,0.09375,330L_16_0003.tif,330L_16_0001.tif,330L_16_0002.tif,7,1,7,0.000238625099882,0.000873379409313,0.0472646,0.0535867,0.00288818006806,0.00455211149711,0.00267373886891,0.00379774766043,0.00144007,0.00180266,0.00102784430215,0.00108668485053,0.00172244930065,0.00301015961056,97291,92023,280.994,418.899,db34c0955de5c3a4402909fcfb7a22cc,d35a79b85f93efb245a9091db7187c25,6da1a050e4967465b4f2c99ae42b09ee,0.00668434717227,0.00949436915107,Till,2012-03-15 something something,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G:\Till\2012-03-15 something something,G:\Till\2012-03-15 something something,G:\Till\2012-03-15 something something,65535,65535,65535,0.00355078227535,0.0047395114241,0.00789306532694,0.00668434717227,0.00949436915107,0.0026139370521,0.00372087829429,0.008,0.00668434717227,0.00949436915107,-11.5651434192,-11.5491424316,-11.8508620369,-11.5196489692,-11.4994072969,0.0204262575779,0.0351775246105,0.246934259686,0.030498659284,0.0629938289194
491.0,491.0,33.0,21.0,151.0,491.0,0.203125,3.953125,3.125,3.375,0.03125,0.03125,0.015625,4.6875,3.109375,2.9375,0.0625,0,0,0.828125,0.828125,7.828125,0.140625,0.15625,0.03125,0.203125,0.203125,0.03125,0.15625,0.015625,0.03125,0.015625,0.390625,1.515625,1.0,0.125,0.078125,0.09375,330L_17_0003.tif,330L_17_0001.tif,330L_17_0002.tif,8,1,8,0.000268548028544,0.000885453424416,0.0483474,0.0478089,0.00290900071368,0.0045597699331,0.00257723475806,0.00365824392065,0.00137635,0.00159016,0.00168432399656,0.00153097155455,0.00251743676681,0.00315158432653,59371,65318,172.71,297.835,7b0164b945bff3ae095352da059b4c40,99ad6a30f338587c660d5db31ea668a0,e8d2adf6026a53a953da2c0265207981,0.00644308689516,0.00914560980164,Till,2012-03-15 something something,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G:\Till\2012-03-15 something something,G:\Till\2012-03-15 something something,G:\Till\2012-03-15 something something,65535,65535,65535,0.00342217537284,0.00435943772158,0.00789306532694,0.00644308689516,0.00914560980164,0.00255111615429,0.00329671746092,0.008,0.00644308689516,0.00914560980164,-11.568999274,-11.5629671569,-11.6852529515,-11.5513951914,-11.5224394289,0.0321295066179,0.0433253644948,0.326754674397,0.0404597040407,0.0760388901337
571.0,571.0,41.0,25.0,144.0,571.0,0.203125,3.921875,3.15625,3.421875,0.015625,0.015625,0.015625,4.734375,3.65625,2.953125,0.09375,0,0,0.84375,0.8125,8.34375,0.1875,0.171875,0.03125,0.21875,0.21875,0.03125,0.140625,0.03125,0.015625,0.03125,0.375,1.5,1.03125,0.125,0.09375,0.09375,330L_18_0003.tif,330L_18_0001.tif,330L_18_0002.tif,9,1,9,0.000203632283956,0.000825084280223,0.048784,0.0544273,0.00295394005697,0.00458042454878,0.00271757110022,0.00382595695555,0.00149196,0.00182667,0.000984048572638,0.00124814338671,0.00157639880572,0.00275594395332,101621,80119,300.182,366.979,d7820236e34681b043dcf8da59e79aaa,0a4a22cdff046bc1080685528391b822,c3e2e68df112a64bae176528ee9eabd1,0.00679392775055,0.00956489238888,Till,2012-03-15 something something,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G:\Till\2012-03-15 something something,G:\Till\2012-03-15 something something,G:\Till\2012-03-15 something something,65535,65535,65535,0.00342217537284,0.0047395114241,0.00789306532694,0.00679392775055,0.00956489238888,0.00256229313662,0.00370560678714,0.008,0.00679392775055,0.00956489238888,-11.5571787012,-11.5553999732,-11.8567584823,-11.5431351727,-11.5082313847,0.0226929331543,0.034896154429,0.280705369162,0.0300298192457,0.0607497131371
943.0,943.0,194.0,104.0,242.0,943.0,0.203125,3.515625,3.296875,3.578125,0.015625,0.015625,0.03125,4.953125,3.0625,3.125,0.140625,0,0,0.828125,0.828125,9.921875,0.21875,0.234375,0.03125,0.21875,0.203125,0.03125,0.15625,0.03125,0.046875,0.015625,0.390625,1.515625,1.046875,0.109375,0.109375,0.09375,330L_19_0003.tif,330L_19_0001.tif,330L_19_0002.tif,10,1,10,0.000693670008332,0.00114751886576,0.0530901,0.041961,0.00457724539088,0.00635715554545,0.00355287734419,0.00525827659294,0.00155135,0.00223201,0.000654904580403,0.000581557643994,0.00384427410659,0.00382499453226,152694,171952,698.918,1093.13,0d7a1572f21838a7036f45a7c0f2f719,2260a7018a6801c0c7d5f8056e3ef4cb,0b117d7b777901dbc14a98577cc2c555,0.00888219336048,0.0131456914824,Till,2012-03-15 something something,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G:\Till\2012-03-15 something something,G:\Till\2012-03-15 something something,G:\Till\2012-03-15 something something,65535,65535,65535,0.00486403245192,0.00574134941337,0.00789306532694,0.00888219336048,0.0131456914824,0.00387261373249,0.00467710111746,0.008,0.00888219336048,0.0131456914824,-11.6013353135,-11.5929728422,-11.8448096179,-11.5683826848,-11.4744016749,0.0612881310528,0.0605293118775,0.369674157801,0.0768548923293,0.120168804806
